ordernumber,quantityordered,priceeach,orderlinenumber,sales,orderdate,status,qtr_id,month_id,year_id,productline,msrp,productcode,customername,phone,addressline1,addressline2,city,state,postalcode,country,territory,contactlastname,contactfirstname,dealsize
-1.6479470949959203,-0.526907258744723,0.5969775019778834,-1.0570587063287502,-0.37441266674081425,2/24/2003 0:00,Shipped,-1.4270386327380036,-1.3929088876103477,-1.1651700861775494,Motorcycles,-0.14134065747451824,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,Small
-1.495887501494733,-0.11042701474742408,-0.11445035408552658,-0.3470150686464702,-0.4351160422749752,5/7/2003 0:00,Shipped,-0.5962425798983697,-0.5723367278181918,-1.1651700861775494,Motorcycles,-0.14134065747451824,S10_1678,Reims Collectables,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France,EMEA,Henriot,Paul,Small
-1.354689307529345,0.618413412247849,0.549383722060052,-1.0570587063287502,0.21086952701548187,7/1/2003 0:00,Shipped,0.23455347294126402,-0.025288621290087743,-1.1651700861775494,Motorcycles,-0.14134065747451824,S10_1678,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Medium
-1.2352139126355548,1.0348936562451478,-0.019758562790675022,-0.1103338560857102,0.13137178573553954,8/25/2003 0:00,Shipped,0.23455347294126402,0.24823543197396428,-1.1651700861775494,Motorcycles,-0.14134065747451824,S10_1678,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,,Young,Julie,Medium
-1.0831543191343675,1.4513739002424466,0.8101579745265006,1.7831158444003699,0.9738087262955896,10/10/2003 0:00,Shipped,1.0653495257808978,0.7952835385020682,-1.1651700861775494,Motorcycles,-0.14134065747451824,S10_1678,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,Medium
-0.9854017233121758,0.09781310725122534,0.6445712818957139,-1.2937399188895102,-0.022806702038855466,10/28/2003 0:00,Shipped,1.0653495257808978,0.7952835385020682,-1.1651700861775494,Motorcycles,-0.14134065747451824,S10_1678,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri,Medium
-0.8550649288825867,-0.6310273197440477,0.1225270084220064,0.5997097815965698,-0.5899818470511369,11/11/2003 0:00,Shipped,1.0653495257808978,1.0688075917661204,-1.1651700861775494,Motorcycles,-0.14134065747451824,S10_1678,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Martine,Small
-0.7681737325961939,1.347253839243122,0.8101579745265006,-1.2937399188895102,1.1511538400706998,11/18/2003 0:00,Shipped,1.0653495257808978,1.0688075917661204,-1.1651700861775494,Motorcycles,-0.14134065747451824,S10_1678,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Medium
-0.6269755386308058,-1.3598677467393208,0.7392630731905647,-1.0570587063287502,-0.780137625615474,12/1/2003 0:00,Shipped,1.0653495257808978,1.3423316450301723,-1.1651700861775494,Motorcycles,-0.14134065747451824,S10_1678,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie,Small
-0.5183615432728149,0.618413412247849,0.8101579745265006,1.7831158444003699,0.6868509901715433,1/15/2004 0:00,Shipped,-1.4270386327380036,-1.6664329408743999,0.2643280247651782,Motorcycles,-0.14134065747451824,S10_1678,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Dominique,Medium
-0.38802474884322585,0.20193316825055005,0.8101579745265006,-1.2937399188895102,0.25783811406056234,2/20/2004 0:00,Shipped,-1.4270386327380036,-1.3929088876103477,0.2643280247651782,Motorcycles,-0.14134065747451824,S10_1678,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium
